uf;cod_munic;nome_do_municipio;pop
PI;00459;Alvorada do Gurguéia; 5 322
PI;00509;Amarante; 17 235
PI;00608;Angical do Piauí; 6 827
PI;00707;Anísio de Abreu; 9 407
PI;00806;Antônio Almeida; 3 152
PI;00905;Aroazes; 5 369
PI;00954;Aroeiras do Itaim; 2 690
PI;01002;Arraial; 4 520
PI;01051;Assunção do Piauí; 7 452
PI;01101;Avelino Lopes; 10 866
PI;01150;Baixa Grande do Ribeiro; 13 272
PI;01176;Barra D'Alcântara; 3 995
PI;01200;Barras; 47 938
PI;01309;Barreiras do Piauí; 3 264
PI;01408;Barro Duro; 6 640
PI;01507;Batalha; 26 300
PI;01556;Bela Vista do Piauí; 4 091
PI;01572;Belém do Piauí; 3 423
PI;01606;Beneditinos; 9 873
PI;01705;Bertolínia; 5 562
PI;01739;Betânia do Piauí; 6 220
PI;01770;Boa Hora; 6 902
PI;01804;Bocaina; 4 078
PI;01903;Bom Jesus; 28 799
PI;01919;Bom Princípio do Piauí; 5 636
PI;01929;Bonfim do Piauí; 5 913
PI;01945;Boqueirão do Piauí; 6 545
PI;01960;Brasileira; 8 436
PI;01988;Brejo do Piauí; 3 904
PI;02000;Buriti dos Lopes; 19 654
PI;02026;Buriti dos Montes; 7 434
PI;02059;Cabeceiras do Piauí; 10 212
PI;02075;Cajazeiras do Piauí; 3 108
PI;02083;Cajueiro da Praia; 7 957
PI;02091;Caldeirão Grande do Piauí; 5 503
PI;02109;Campinas do Piauí; 4 937
PI;02117;Campo Alegre do Fidalgo; 4 616
PI;02133;Campo Grande do Piauí; 6 020
PI;02174;Campo Largo do Piauí; 7 419
PI;02208;Campo Maior; 45 793
PI;02251;Canavieira; 3 414
PI;02307;Canto do Buriti; 19 365
PI;02406;Capitão de Campos; 11 100
